Meeting,No.,Ag. Items,Ag. Items.1,Ag. Items.2,Title,Submitted By,Submitted By.1,Submitted By.2,Submitted By.3,Submitted By.4,Submitted By.5,Submitted By.6,Submitted By.7,Submitted By.8,Submitted By.9,Submitted By.10,Submitted By.11,Submitted By.12,Submitted By.13,E,S,F,R,Attachments
ATCM XLIV - CEP XXIV (2022),IP076,CEP 11,,,"Wastewater management practices at Antarctic stations: Preliminary survey results
",COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP077,CEP 9e,,,A classification system of Antarctic inland aquatic ecosystems,New Zealand,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP078,ATCM 15,,,Update on the Australian Antarctic Strategy and 20 Year Action Plan and major initiatives,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP079,ATCM 17,,,Competent authorities discussion forum on tourism regulatory activities: report by the convener,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP080 rev. 1,ATCM 17,,,Data Collection and Reporting on Yachting Activity in Antarctica in 2021-22,United Kingdom,Argentina,Chile,United States,IAATO,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP081,CEP 7b,,,Mapping SCAR affiliated research to climate change related science needs identified by the CEP,SCAR,,,,,,,,,,,,,,X,,,,"SCAR Research CEP Science Needs
"
ATCM XLIV - CEP XXIV (2022),IP082,ATCM 18,,,"Preparation of the 45th Meeting Helsinki, 2023
",Finland,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP083,CEP 13,,,"On the Permit to carry out activities in the area of the Antarctic Treaty to the State Institution “Republican Center for Polar Research” during the period 2021-2026
",Belarus,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),IP084,CEP 10a,,,Definitive eradication of the presence of a Lepidoptera at Carlini Base,Argentina,Germany,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP085 rev. 1,ATCM 4,,,Implementation of the National Antarctic Program of Ukraine in the Conditions of Hybrid Warfare and Open Military Aggression of the Russian Federation: Challenges and Lessons Learned,Ukraine,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),IP086,ATCM 17,,,"Update of the ""Plan Estratégico de Turismo Sustentable de la Provincia de Tierra del Fuego"" (""Strategic Plan for Sustainable Tourism of the Province of Tierra del Fuego"") (PETS-TDF 2025) ",Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP087,ATCM 13,,,Report on the 24th edition of the Joint Antarctic Naval Patrol between Argentina and Chile - 2021/2022,Argentina,Chile,,,,,,,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP088,ATCM 4,,,ASOC report to the ATCM,ASOC,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),IP089,ATCM 16,,,Banning Hydrocarbon Extraction in Antarctica Now: Reducing the Risks and Impacts of Global Climate Change,ASOC,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP090,ATCM 16,CEP 7a,,"Ice Sheet Instability, Long-term Sea-level Rise, and Southern Ocean Acidification: Time for Coordinated Action by Antarctic Treaty Parties
",ASOC,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP091,ATCM 17,CEP 11,,Antarctic tourism policies after the “pandemic pause”,ASOC,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP092,ATCM 17,,,Developments to enhance the safety of pleasure yachts and fishing boats operating in the Antarctic Treaty area,ASOC,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP093,CEP 8b,,,"Planning process for future capacity expansion of Petrel Base, Cape Welchness, Dundee Island",Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP094,ATCM 13,,,"National Antarctic Programs’ operations as the global pandemic continued
",COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP095,ATCM 15,CEP 8b,,Progress of glaciological research activities at the Dome Fuji station and its vicinity,Japan,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP096,ATCM 15,,,Japan’s Antarctic Research Highlights 2021- 22,Japan,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP097,CEP 9c,,,"Revised Tourism Management Policy for Vernadsky Station, Galindez Island",Ukraine,,,,,,,,,,,,,,X,,,,"Visitor Guideline for Vernadsky Station, Galindez Island
"
ATCM XLIV - CEP XXIV (2022),IP098,ATCM 19,,,Turkey’s Membership to the COMNAP,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP099,ATCM 15,,,Czechia-Turkey Scientific and Logistic Collaboration in Antarctica,Czechia,Türkiye,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP100,CEP 8b,,,Extension of the Use of Turkish Scientific Research Camp,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP101,ATCM 15,,,Turkish Polar Science Workshops,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP102,ATCM 15,,,Bulgaria-Turkey Scientific and Logistic Collaboration in Antarctica,Bulgaria,Türkiye,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP103,ATCM 15,,,"A Memorandum of Understanding between the Ministry of Science and Innovation of the Kingdom of Spain and the Scientific and Technological Research Council of Turkey
",Spain,Türkiye,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP104,ATCM 15,,,"A Memorandum of Understanding between the Scientific and Technological Research Council of Turkey, Marmara Research Center, Polar Research Institute and the National Institute of Polar Research, the Research Organization of Information and Systems",Japan,Türkiye,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP105,ATCM 11,,,Education & Outreach Activities of Turkey in 2021-2022,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP106,ATCM 15,CEP 13,,WMO Unified Data Policy and the Global Basic Observing Network (GBON),WMO,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP107 rev. 1,ATCM 15,CEP 13,,The Southern Ocean contribution to the United Nations Decade of Ocean Science for Sustainable Development,SCAR,Belgium,IAATO,Netherlands,WMO,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP108,ATCM 15,CEP 13,,The Ice Memory Programme,France,Italy,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP109,ATCM 15,,,II Congreso Internacional “Colombia y su proyección en la Antártica” ,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP110,ATCM 13,,,Identificación de peligros de la operación aérea en la Antártida para gestionar la seguridad operacional de la Fuerza Aérea Colombiana - Fase II,Colombia,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP111,ATCM 17,,,Report on Antarctic tourist flows and cruise ships operating in Ushuaia during the 2021/2022 Austral summer season,Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP112 rev. 1,CEP 9b,,,Current situation of the impact of climate change on the Sweden Refuge on Snow Hill Island (HSM No. 38),Argentina,Sweden,,,,,,,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP113,ATCM 15,,,Avances del proyecto de generación de un robot submarino para su uso en la Antártida,Ecuador,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP114 rev. 1,ATCM 15,,,Gender approach in the National Antarctic Program of Argentina,Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP115,ATCM 13,,,Análisis de riesgos de desastres naturales en la zona de influencia de la Estación Científica “Pedro Vicente Maldonado”,Ecuador,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP116,ATCM 10,,,Propuesta ecuatoriana de catálogo de objetos geográficos antárticos,Ecuador,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP117,ATCM 17,,,‘Building Back [and forth] Better’ for Antarctic Tourism: Enduring Concerns in Pursuit of a Strategic Vision ,India,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP118,ATCM 15,,,"General overview regarding
the “XXXII Meeting of Managers of Latin American Antarctic Programs” (RAPAL)
",Uruguay,Argentina,Brazil,Chile,Ecuador,Peru,Colombia,Venezuela,,,,,,,X,X,,,
ATCM XLIV - CEP XXIV (2022),IP119,ATCM 15,,,Switzerland’s contribution to snow research in Antarctica 2011-2021,Switzerland,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP120,CEP 9a,,,Exploring the possibilities for the designation of Barrientos (Aitcho) Island as an ASMA,Ecuador,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP121,CEP 4,,,Committee for Environmental Protection (CEP): summary of activities during the 2021/22 intersessional period,Norway,,,,,,,,,,,,,,X,,,,
ATCM XLIV - CEP XXIV (2022),IP122,ATCM 15,CEP 10c,,Group-size effect on vigilance and flight initiation distances of Adélie penguins in south-eastern Antarctica,China,,,,,,,,,,,,,,X,,,,"Group-size effect on vigilance and flight initiation distances of Adélie penguins in south-eastern Antarctica
"
ATCM XLIV - CEP XXIV (2022),IP123,CEP 10b,,,The Case of Polar Bears Conservation informed by Climate Models and the Potential Similar Case of Emperor Penguins,China,,,,,,,,,,,,,,X,,,,"Emperor penguin numbers rise as biologists petition for IUCN Red List upgrade
How are polar bears doing 15 years after the IUCN declared them ‘vulnerable’ to extinction?
information about the author
"
ATCM XLIV - CEP XXIV (2022),IP124,ATCM 6b,,,"Organización en Ecuador de la XXXIII Reunión de Administradores de Programas Antárticos Latinoamericanos- RAPAL 2022
",Ecuador,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP125,ATCM 15,,,Actividad de Chile en Glaciar Unión,Chile,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP126,ATCM 11,,,Actividades en Educación y Comunicación Antártica,Chile,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP127,CEP 9a,,,"Revisión del estado de la Zona Antártica Especialmente Protegida No. 144, bahía Chile (bahía Discovery)",Chile,,,,,,,,,,,,,,,X,,,
ATCM XLIV - CEP XXIV (2022),IP128,CEP 9a,,,"Analysis of the current status of the Antarctic Specially Protected Area No. 144, Chile Bay (Discovery Bay), Greenwich Island
",Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP001,ATCM 14,CEP 12,,"United States Report of Inspection, February 2020",United States,,,,,,,,,,,,,,X,,,,"2020 United States Antarctic Inspection
"
ATCM XLIII - CEP XXIII (2021),IP002,ATCM 4,,,Report of the Depositary Government of the Antarctic Treaty and its Protocol in accordance with Recommendation XIII-2,United States,,,,,,,,,,,,,,X,X,X,X,"1. Antarctic Treaty Status Table
2. Environmental Protocol Status Table
3. Annex V Status Table
4. Annex VI Status Table
5. List of Recommendations / Measures and their approvals
"
ATCM XLIII - CEP XXIII (2021),IP003,ATCM 4,,,Report by the CCAMLR Observer to the Forty Third Antarctic Treaty Consultative Meeting,CCAMLR,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP004,ATCM 13,ATCM 4,,Report by the International Hydrographic Organization (IHO),IHO,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP005,ATCM 6a,,,"On the issue of consideration of the application of the Republic of Belarus for obtaining the status of a Consultative Party
",Belarus,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP006,CEP 10a,,,Horizon scanning exercise to identify likely invasive non-native species in the Antarctic Peninsula region,United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP007,ATCM 17,CEP 6,,Report on Environmental Remediation,United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP008,ATCM 6b,,,"Report of Antarctic Parliamentarians Assembly 2-3 December 2019: London
",United Kingdom,,,,,,,,,,,,,,X,,,,"Assembly Statement
"
ATCM XLIII - CEP XXIII (2021),IP009,ATCM 15a,CEP 11,,Time-lapse camera monitoring of species in the Antarctic Treaty area,United Kingdom,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP010 rev. 1,ATCM 4,,,"Report by the United Kingdom as Depositary Government for the Convention for the Conservation of Antarctic Seals (CCAS) in Accordance with Recommendation XIII-2, Paragraph 2(d) 2018/19 and 2019/20",United Kingdom,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP011,ATCM 4,CEP 5,,"Annual Report for 2020/21 of the Council of Managers of National Antarctic Programs (COMNAP)
",COMNAP,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP012,ATCM 9,,,Antarctic Bioprospecting: SCAR Survey of Member Countries,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP013,ATCM 17,,,A case of fruitful cooperation between Chile and Ukraine National Competent Authorities regarding yacht’s activity in Antarctica,Chile,Ukraine,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP014,CEP 13,,,Antarctic wilderness and inviolate areas,Australia,Netherlands,New Zealand,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP015,ATCM 14,CEP 12,,Australian Antarctic Treaty and Environmental Protocol inspections: January/February 2020,Australia,,,,,,,,,,,,,,X,,,,"Inspection Report
"
ATCM XLIII - CEP XXIII (2021),IP016,CEP 7a,,,A custom Green Star Antarctic Tool: A sustainable design standard,New Zealand,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP017,CEP 12,,,On the activities of the Republic of Belarus to implement the environmental principles of the Madrid Protocol of 1991 in 2019-2021,Belarus,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP018,CEP 10c,,,Operationalizing the use of Unmanned Aerial Vehicles (UAV) for assessing Antarctic wildlife populations,Germany,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP019,CEP 10c,,,Managing the Effects of Anthropogenic Noise in the Antarctic – Steps towards the development of an underwater noise protection concept for ‘Antarctica’,Germany,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP020 rev. 1,CEP 10c,,,"Assessment of communication masking in Antarctic marine mammals by airgun sound
",Germany,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP021,CEP 11,,,A step towards a structured sample and data collection of environmental contamination in the Antarctic,Germany,Italy,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP022 rev. 1,CEP 10b,,,Projections of future population decline indicate the need to designate the emperor penguin as an Antarctic Specially Protected Species,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP023,CEP 9e,,,"Important Bird Areas and Antarctic Specially Protected Areas: Toward the development of selection criteria
",Australia,Germany,New Zealand,Norway,Spain,United Kingdom,United States,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP024,CEP 10c,,,"Important Marine Mammal Areas (IMMAS) within the Antarctic Treaty area: An international collaboration to inform habitat-related conservation decision-making and conservation planning for marine mammal species
",IUCN,SCAR,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP025,ATCM 15a,,,Report of the Asian Forum for Polar Sciences (AFoPS) 2019–2021,Japan,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP026,ATCM 15a,,,"Actividades del Programa Nacional Antártico de Perú Período 2020 - 2021
",Peru,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP027,ATCM 15a,,,Expedición Científica del Perú a la Antártida,Peru,,,,,,,,,,,,,,,X,,,
ATCM XLIII - CEP XXIII (2021),IP028,ATCM 18,CEP 15,,Proposal of Finland to host the 45. ATCM in Helsinki in 2023,Finland,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP029 rev. 1,ATCM 4,CEP 5,,The Scientific Committee on Antarctic Research Annual Report 2021 to the Antarctic Treaty Consultative Meeting XLIII,SCAR,,,,,,,,,,,,,,X,X,X,X,"SCAR Annual Report Infographic
"
ATCM XLIII - CEP XXIII (2021),IP030,CEP 8b,,,Information provision of quantitative assessment of cumulative air impacts in the framework of environmental impact assessment in Antarctica,Belarus,,,,,,,,,,,,,,X,,,X,
ATCM XLIII - CEP XXIII (2021),IP031,ATCM 15a,CEP 11,,Breeding of seabirds insensitive to shifting ocean temperatures,Portugal,Canada,New Zealand,South Africa,United Kingdom,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP032,ATCM 11,CEP 13,,Education and outreach by the Antarctic Treaty Parties under ATCM framework: a review,Portugal,Belgium,Bulgaria,United Kingdom,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP033,ATCM 11,CEP 13,,Celebrating Magellan and Elcano,Portugal,Spain,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP034,CEP 11,,,Using treated wastewater for hydroponic cultivation of vegetables in the Antarctic,Portugal,Bulgaria,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP035,CEP 10a,,,"Progress and plan towards eradication of the Non-native flies in King George Island, South Shetland Islands",Chile,Korea (ROK),Russian Federation,Uruguay,,,,,,,,,,,X,,,,"Genetic variability analyses of Non-native files
"
ATCM XLIII - CEP XXIII (2021),IP036,ATCM 13,,,The response of the Italian National Antarctic Program to COVID-19 pandemic in the 2020-2021 expedition,Italy,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP037,ATCM 15a,CEP 10a,,"Seeds for Future. Global Wild Plant Seed Vault
",Italy,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP038,ATCM 13,,,Report on the 23rd edition of the Joint Antarctic Naval Patrol between Argentina and Chile - 2020/2021,Chile,Argentina,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP039,ATCM 13,,,Report on the tasks completed by the Naval Hydrographic Service in Antarctica 2020/21,Argentina,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP040,ATCM 15a,,,Malaysia’s activities and achievements in Antarctic research and diplomacy,Malaysia,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP041,ATCM 6b,,,A review of the activities conducted by Italy in support of the established CCAMLR Ross Sea Region Marine Protected Area (RSRMPA),Italy,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP042,ATCM 13,,,Chile’s experience in the implementation of the COVID-19 protocol for control and monitoring ,Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP043,ATCM 15a,,,Gender Agenda of the Chilean Scientific Program,Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP044,ATCM 11,,,Antarctic Communication and Education in a Pandemic Year,Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP045,ATCM 15a,,,"Diversity in Polar Science Initiative: Polar Horizons
",United Kingdom,,,,,,,,,,,,,,X,,,,"Polar Horizons - How-to Guide
"
ATCM XLIII - CEP XXIII (2021),IP046,ATCM 16,,,Latitudinal network of multiparametric stations in Antarctica and Climate Change Observatory,Chile,,,,,,,,,,,,,,X,X,,,"Brochure Climate Change Observatory
"
ATCM XLIII - CEP XXIII (2021),IP047,CEP 10a,,,Potential for zoonotic transmission of SARS-CoV-2 from humans to Antarctic wildlife,Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP048,CEP 10c,,,Second Edition of the Wildlife Awareness Manual,United Kingdom,Germany,IAATO,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP049 rev. 1,CEP 10c,,,The Retrospective Analysis of Antarctic Tracking Data identifies Areas of Ecological Significance in the Southern Ocean,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP050,ATCM 15a,,,Chilean Antarctic Science Program (PROCIEN) and challenges of the 2020-2025 Five-Year Plan,Chile,,,,,,,,,,,,,,X,X,,,
ATCM XLIII - CEP XXIII (2021),IP051,ATCM 15a,CEP 8b,,Current glaciological research activities at the Dome Fuji station and its vicinity,Japan,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP052,ATCM 15a,,,Australian Antarctic Science Program 2019-20 and 2020-21,Australia,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP053,CEP 9a,,,"Initiation of the review of the Management Plan for Antarctic Specially Protected Area No. 126 Byers Peninsula, Livingston Island, South Shetland Islands",United Kingdom,Chile,Spain,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP054,ATCM 17,,,Data Collection and Reporting on Yachting Activity in Antarctica in 2019-20 and 2020-21,United Kingdom,Argentina,Chile,IAATO,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP055,CEP 10a,,,Risks of COVID-19 to Antarctic Wildlife,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP056,ATCM 13,,,Mitigation of erosion of the coastline at the Spanish Antarctic Base Gabriel de Castilla,Spain,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP057,ATCM 13,,,"Implementation of the IMO Polar Code in Spain. Certification of the Research Vessel (RV) Sarmiento de Gamboa
",Spain,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP058,ATCM 17,,,"Competent Authorities discussion forum on tourism regulatory activities: report by the convener
",Australia,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP059,ATCM 13,,,"COMNAP Antarctic Aviation Project: Update
",COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP060 rev. 1,CEP 10c,,,State of Antarctic Penguins 2020 Report,SCAR,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP061,ATCM 13,,,Concept study for Troll station,Norway,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP062,ATCM 17,,,Norwegian supervision scheme for Antarctic cruise operators,Norway,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP063,ATCM 11,,,Education & Outreach Activities of Turkey in 2020-2021,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP064,ATCM 11,,,Polar Research Projects Contest for High School Students in Turkey,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP065,ATCM 15a,,,The Letter of Endorsement between the Association of Polar Early Career Scientists (APECS) and APECS National Committee of Turkey,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP066,ATCM 15a,,,"The Fifth Turkish Antarctic Expedition (TAE-V)
",Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP067,ATCM 6b,,,New Legislation for Turkish Polar Scientific Expeditions,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP068,ATCM 15a,,,Turkey’s Membership to the European Polar Board,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP069,ATCM 15a,,,Turkey’s Full Membership to the SCAR,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP070,ATCM 15a,,,The Turkish Academy of Sciences Young Scientists Award Programme Polar Studies Prize,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP071,ATCM 15a,,,"A Letter of Intent between the Scientific and Technological Research Council of Turkey, Marmara Research Center, Polar Research Institute and the Korea Polar Research Institute",Türkiye,Korea (ROK),,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP072,ATCM 15a,,,"A Memorandum of Understanding between the Scientific and Technological Research Council of Turkey, Marmara Research Center, Polar Research Institute and the Bulgarian Antarctic Institute",Türkiye,Bulgaria,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP073,ATCM 15a,,,"A Memorandum of Understanding between the Scientific and Technological Research Council of Turkey, Marmara Research Center, Polar Research Institute and the State Institution National Antarctic Scientific Centre of Ukraine",Türkiye,Ukraine,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP074,ATCM 15a,,,Antarctic Publications by Turkish Scientists (2020/2021 Update),Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP075,ATCM 11,,,Training Book for the Turkish Scientific Polar Expeditions,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP076,ATCM 15a,,,Project Calls and Evaluation Processes in Turkish Antarctic Expeditions,Türkiye,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP077,ATCM 15a,CEP 9d,,Observing the Changing Southern Ocean and its Global Connections,United States,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP078,ATCM 15a,,,Delivering the Promise of Antarctic Science through Inclusiveness and Diversity,United States,United Kingdom,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP079,ATCM 15a,,,High-precision Map of Antarctic Ice Sheet Bed Topography,United States,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP080,ATCM 4,,,ASOC Report to the ATCM,ASOC,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP081,ATCM 6b,CEP 13,,The Madrid Protocol at Thirty: Where Do We Go From Here?,ASOC,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP082,ATCM 15a,ATCM 6b,,"National Antarctic Programs’ operations during an unprecedented Antarctic season 
",COMNAP,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP083,ATCM 4,,,Report of the Depositary Government for the Convention on the Conservation of Antarctic Marine Living Resources (CCAMLR),Australia,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP084,ATCM 4,,,Report of the Depositary Government for the Agreement on the Conservation of Albatrosses and Petrels (ACAP),Australia,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIII - CEP XXIII (2021),IP085,ATCM 15a,,,Japan’s Antarctic Research Highlights 2020–21,Japan,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP086,ATCM 17,,,Closing of the Arctowski Polish Antarctic Station for tourist traffic due to the COVID-19 pandemic and the ongoing renovation of station facilities ,Poland,,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP087,ATCM 15a,,,"Polish-Russian Collaboration in East Antarctica
",Poland,Russian Federation,,,,,,,,,,,,,X,,,,
ATCM XLIII - CEP XXIII (2021),IP088,CEP 10a,,,"Non-native species Trichocera maculipennis (Diptera) eradication from Arctowski Polish Antarctic Station, Western Shore of Admiralty Bay, King George Island, South Shetland Islands – update 2020/2021",Poland,,,,,,,,,,,,,,X,,,,
