Meeting,No.,Ag. Items,Ag. Items.1,Title,Submitted By,Submitted By.1,Submitted By.2,Submitted By.3,Submitted By.4,Submitted By.5,Submitted By.6,Submitted By.7,Submitted By.8,Submitted By.9,Submitted By.10,Submitted By.11,Submitted By.12,Submitted By.13,Submitted By.14,Submitted By.15,Submitted By.16,Submitted By.17,Submitted By.18,Submitted By.19,Submitted By.20,Submitted By.21,Submitted By.22,Submitted By.23,E,S,F,R,Attachments
ATCM XLV - CEP XXV (2023),WP001,CEP 9a,,"Management Plan for Antarctic Specially Protected Area No.165 Edmonson Point, Wood Bay, Victoria Land, Ross Sea
",Italy,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 165 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP002 rev. 1,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 122 Arrival Heights, Hut Point Peninsula, Ross Island
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 122 Map 1
ASPA 122 Map 2
ASPA 122 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP003,ATCM 13,CEP 10a,Surveillance and coordination for the prevention and detection of Highly Pathogenic Avian Influenza in Antarctica,United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"U.S. Antarctic Program Highly Pathogenic Avian Influenza Guidance
"
ATCM XLV - CEP XXV (2023),WP004,ATCM 17,,Infrastructure supporting tourism and other non-governmental activities in Antarctica,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Report of the ICG
"
ATCM XLV - CEP XXV (2023),WP005,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 108 Green Island, Berthelot Islands, Antarctic Peninsula ",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 108 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP006,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 117, Avian Island, Marguerite Bay, Antarctic Peninsula",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 117 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP007,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 147 Ablation Valley and Ganymede Heights, Alexander Island",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 147 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP008,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 170 Marion Nunataks, Charcot Island, Antarctic Peninsula ",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 170 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP009,ATCM 15,CEP 10b,The United States Recognizes the Emperor Penguin as a Threatened Species and Provides Additional Protection for Emperor Penguins,United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP010,ATCM 15,,Promoting Diversity and Inclusion among Antarctic operators and expeditions,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP011,CEP 9a,,Report on the informal ICG to develop an ASPA Draft Management Plan for Danger Islands Archipelago (North-eastern Antarctic Peninsula),Germany,United States,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Draft Management Plan for ASPA Danger Islands Archipelago
"
ATCM XLV - CEP XXV (2023),WP012,CEP 7b,,Preparation of the next Joint CEP/SC-CAMLR Workshop,France,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP013,ATCM 17,,"Dedicated process for the development of a comprehensive and consistent framework for Antarctic tourism and other non-governmental activities
",France,Netherlands,Belgium,Finland,Germany,India,New Zealand,Norway,Poland,Spain,Türkiye,United Kingdom,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP014,CEP 10a,,Review of International Maritime Organization (IMO) and Antarctic Treaty system (ATS) guidelines and agreements concerning ship biofouling and ballast water management,Australia,New Zealand,United Kingdom,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Report
"
ATCM XLV - CEP XXV (2023),WP015 rev. 2,ATCM 12a,ATCM 12b,Proposal for an Intersessional Process to Review the Use and Maintenance of the Multi-Year Strategic Work Plan,Australia,Belgium,Netherlands,New Zealand,Norway,Sweden,United States,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP016,ATCM 10,,Report of the intersessional contact group to review the Scientific Information in the Electronic Information Exchange System,Spain,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP017,CEP 11,,Environmental monitoring: an international framework,Netherlands,France,Belgium,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP018,CEP 11,,Contribution of information to inform State of the Antarctic Environment Reporting (SAER): a potential new SCAR initiative,SCAR,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Report of the SCAR Ant-ICON Workshops on State of the Environment Reporting (SAER)
"
ATCM XLV - CEP XXV (2023),WP019,ATCM 17,,Urgent measures to be taken with respect to certain tourist and non-governmental activities ,France,Netherlands,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP020,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 137 Northwest White Island, McMurdo Sound
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 137 Map 1
ASPA 137 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP021 rev. 1,CEP 4,,Update to the Procedure for CEP consideration of draft CEEs,Norway,Germany,India,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP022,CEP 4,,Nomination and election procedures – CEP Chair,Norway,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Revised CEP Rules of Procedure
"
ATCM XLV - CEP XXV (2023),WP023,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 123 Barwick and Balham Valleys, Southern Victoria Land
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 123 Map 1
ASPA 123 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP024,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 172 Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 172 Map 1
ASPA 172 Map 2
ASPA 172 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP025,ATCM 11,,Sixth report of the Intersessional Contact Group on Education and Outreach,Bulgaria,Belgium,Brazil,Chile,COMNAP,Czechia,Finland,IAATO,India,Italy,Korea (ROK),Malaysia,Poland,Portugal,Romania,SCAR,South Africa,Spain,United Kingdom,United States,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP026,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 138 Linnaeus Terrace, Asgard Range, Victoria Land
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 138 Map 1
ASPA 138 Map 2
ASPA 138 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP027,CEP 9b,,"Relocation of artefacts from HSM 68: Supply depot, Hell’s Gate Moraine",New Zealand,United Kingdom,Norway,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"List of artefacts from HSM 68: Supply depot, Hell’s Gate Moraine
"
ATCM XLV - CEP XXV (2023),WP028 rev. 1,CEP 9a,,"Review of the Management Plan for Antarctic Specially Protected Area No.156: Lewis Bay, Mount Erebus, Ross Island ",New Zealand,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 156 Map 1
ASPA 156 Map 2
ASPA 156 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP029,ATCM 6d,CEP 7a,"Implementation of ACCE Imperatives: A COMNAP perspective
",COMNAP,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP030 rev. 2,ATCM 8,,Proposal for an Informal Intersessional Process to Share Information on Domestic Implementation of Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty,Australia,Finland,France,Germany,Netherlands,New Zealand,Norway,Spain,Sweden,United Kingdom,Uruguay,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP031,ATCM 6d,,Network of Observation Systems,Norway,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP032,CEP 8a,,"Report of the intersessional open-ended contact group (ICG) to Review the Draft Comprehensive Environmental Evaluation prepared by Argentina for the ‘Redevelopment of Petrel Station, Dundee Island, Antarctica’",New Zealand,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP033,ATCM 15,,"The awareness-raising strategy on equality, diversity and inclusion addressed to the personnel participating in the Antarctic campaigns",Spain,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP034,ATCM 17,,More data needed to manage air-supported land-based tourism,Norway,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP035,ATCM 6d,,Addressing management implication of loss of sea-ice ,Norway,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP036,ATCM 6e,CEP 13,Towards gender-neutral language in the Antarctic Treaty System,Finland,United Kingdom,Spain,Germany,New Zealand,Norway,France,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP037 rev. 1,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 168 Mount Harding, Grove Mountains, East Antarctica",China,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 168 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP038 rev. 1,ATCM 6d,CEP 7a,Helsinki Declaration on Climate Change and the Antarctic,Finland,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP039,ATCM 6d,,DML-RINGS and Enderby Land RINGS – opening extensive international collaboration to close critical data gaps for sea-level projections,Norway,Germany,Australia,Belgium,China,Finland,India,Japan,Sweden,United States,SCAR,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP040,CEP 8b,,Improving the Effectiveness of Antarctic Environmental Impact Assessment,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP041,ATCM 17,CEP 11,Monitoring the impacts of human activity in Antarctica,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP042 rev. 1,ATCM 6d,CEP 7a,SCAR updates on Antarctic Climate Change and the Environment,SCAR,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP043,ATCM 6d,CEP 7a,The Recommendations of SCAR on Climate Action in the Antarctic: The Finnish Perspective,Finland,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP044,ATCM 13,,Aviation in Antarctica: Communication mechanisms to increase safety and reduce risks,Norway,Belgium,Finland,Germany,Japan,Netherlands,Sweden,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP045,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 149 Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 149 Map 1
ASPA 149 Map 2
ASPA 149 Map 3
ASPA 149 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP046,ATCM 6c,,"Harmonised implementation of the IMO Polar Code
",Argentina,Finland,Norway,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP047,CEP 9a,,Subsidiary Group on Management Plans Report of activities during the intersessional period 2022-2023,India,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 179 Parts of Western Sør Rondane Mountains Management Plan
ASPA XXX Bransfield-Dallmann Management Plan
ASPA XXX Bransfield-Dallmann Map 1
ASPA XXX Bransfield-Dallmann Map 2
ASPA XXX Bransfield-Dallmann Map 3
Pictures by scientists of ASPA YYY and the ASPA sites
"
ATCM XLV - CEP XXV (2023),WP048,CEP 7b,,Report of the CEP Subsidiary Group on Climate Change Response (SGCCR) 2022-2023,Germany,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP049 rev. 1,CEP 11,,Antarctic Near-shore and Terrestrial Observing System (ANTOS),SCAR,New Zealand,Australia,Italy,Korea (ROK),United States,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP050,CEP 9a,,"Status of Antarctic Specially Protected Area No. 144, Chile Bay (Discovery Bay) ",Chile,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP051,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 145 Port Foster, Deception Island, South Shetland Islands ",Chile,Spain,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 145 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP052,CEP 10b,,A five-year assessment of the impacts on emperor penguins of low sea-ice extent,United Kingdom,France,Germany,United States,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP053,CEP 9b,,HSM No. 93 The Wreck of Endurance: Conservation Management Plan and Future Protection,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP054 rev. 1,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 132, Potter Peninsula",Argentina,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 132 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP055,ATCM 6d,ATCM 6e,Reaffirmation of Commitment to Environmental Protocol Article 7,United States,Argentina,Australia,Belgium,Bulgaria,Chile,Czechia,Finland,France,Germany,India,Italy,Japan,Korea (ROK),Netherlands,New Zealand,Norway,Peru,Poland,Spain,Sweden,Ukraine,United Kingdom,Uruguay,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP056,ATCM 13,,Proposal for the improvement of observations of sea ice and icebergs in polar and subpolar waters for the development of nautical safety products by Ice Services,Argentina,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP057,ATCM 6e,,Urgent Challenges for the Antarctic Treaty System,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP058,CEP 9a,,"Prior assessment of a proposed Antarctic Specially Protected Area within the Argentine Islands and Kyiv Peninsula area, Antarctic Peninsula",Ukraine,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA Prior template
"
ATCM XLV - CEP XXV (2023),WP059,CEP 9a,,"Revised Management Plan for Antarctic Specially Managed Area No.1 Admiralty Bay, King George Island
",Brazil,Ecuador,Peru,Poland,United States,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASMA 1 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP060 rev. 1,CEP 9a,,"Draft Antarctic Specially Protected Area Management Plan for Farrier Col, Horseshoe Island, Marguerite Bay",Belgium,Türkiye,United Kingdom,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Draft ASPA Farriel Col Management Plan
"
ATCM XLV - CEP XXV (2023),WP061 rev. 1,CEP 8a,,"Draft Comprehensive Environmental Evaluation (CEE) for the renovation of Petrel Base, Dundee Island, Antarctica",Argentina,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Non-technical summary
"
ATCM XLV - CEP XXV (2023),WP062,CEP 3,,CEP strategic priorities and the 5-year work plan: Outcomes and recommendations from the intersessional discussions and workshop ,Norway,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),WP001,CEP 9a,,Revised Management Plan and maps for Antarctic Specially Managed Area No. 7 Southwest Anvers Island and Palmer Basin,United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASMA 7 Map 1
ASMA 7 Map 10
ASMA 7 Map 11
ASMA 7 Map 12
ASMA 7 Map 13
ASMA 7 Map 14
ASMA 7 Map 15
ASMA 7 Map 16
ASMA 7 Map 17
ASMA 7 Map 18
ASMA 7 Map 2
ASMA 7 Map 3
ASMA 7 Map 4
ASMA 7 Map 5
ASMA 7 Map 6
ASMA 7 Map 7
ASMA 7 Map 8
ASMA 7 Map 9
ASMA 7 Revised Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP002,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 149. Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 149 Map 1
ASPA 149 Map 2
ASPA 149 Map 3
ASPA 149 Revised Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP003,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 122. Arrival Heights, Hut Point Peninsula, Ross Island",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 122 Map 1
ASPA 122 Map 2
ASPA 122 Revised Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP004,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 124. Cape Crozier, Ross Island
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 124 Map 1
ASPA 124 Map 2
ASPA 124 Revised Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP005,CEP 9a,,"Review of the Management Plans for Antarctic Specially Protected Areas (ASPAs) No. 113 Litchfield Island, Arthur Harbor, Palmer Archipelago, No. 119 Davis Valley and Forlidas Pond, Dufek Massif, and No. 139 Biscoe Point, Palmer Archipelago",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 113 Map 1
ASPA 113 Map 2
ASPA 113 Revised Management Plan
ASPA 119 Map 1
ASPA 119 Map 2
ASPA 119 Revised Management Plan
ASPA 139 Map 1
ASPA 139 Map 2
ASPA 139 Map 3
ASPA 139 Revised Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP006,CEP 9a,,Revision and merger of the Management Plans for Antarctic Specially Protected Areas No. 152 Western Bransfield Strait and No. 153 Eastern Dallmann Bay,United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA No. XXX Western Bransfield Strait and Eastern Dallmann Bay
ASPA XXX Map 1
ASPA XXX Map 2
ASPA XXX Map 3
"
ATCM XLIV - CEP XXIV (2022),WP007,CEP 4,,ATS webpages providing information on the Subsidiary Groups of the CEP,India,Norway,United Kingdom,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Attachment A : Draft text for proposed SGMP webpage
Attachment B: Draft text for proposed SGCCR webpage
"
ATCM XLIV - CEP XXIV (2022),WP008 rev. 1,CEP 9a,,Subsidiary Group on Management Plans Report of activities during the intersessional period 2021-2022,India,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 145 Revised Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP009,ATCM 10,,Review of the scientific information contained in the EIES,Spain,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),WP010,ATCM 11,,Antarctic Environments Portal,SCAR,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Antarctic Environments Portal: Content Management Plan
"
ATCM XLIV - CEP XXIV (2022),WP011 rev. 1,CEP 11,,Further steps towards a structured sample and data collection of environmental contamination,Germany,Italy,Australia,United Kingdom,United States,Sweden,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),WP012,CEP 9a,,"Prior assessment of a proposed Antarctic Specially Protected Area at Otto-von-Gruber-Gebirge (Dronning Maud Land, East Antarctica)",Germany,United States,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Attachment A
"
ATCM XLIV - CEP XXIV (2022),WP013,CEP 9a,,Prior assessment of a proposed Antarctic Specially Protected Area at Danger Islands Archipelago (North-eastern Antarctic Peninsula),Germany,United States,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Attachment A
"
ATCM XLIV - CEP XXIV (2022),WP014,CEP 10c,,Do the Environmental Guidelines for operation of Remotely Piloted Air-craft Systems (RPAS) in Antarctica (v 1.1) need to be revised?,Germany,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Literature Review
"
ATCM XLIV - CEP XXIV (2022),WP015,CEP 9a,,"Proposal for a new Antarctic Specially Protected Area in parts of the Western Sør Rondane Mountains, Dronning Maud Land, East Antarctic",Belgium,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA YYY. Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica
"
ATCM XLIV - CEP XXIV (2022),WP016,CEP 7b,,Review of progress in the implementation of the recommendations identified at the Joint CEP/SC-CAMLR Workshop on Climate Change and Monitoring (2016),Argentina,Australia,France,United States,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),WP017,ATCM 13,,Additional COMNAP advice in regards to ATCM review of Resolution on Air Safety in Antarctica ,COMNAP,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLIV - CEP XXIV (2022),WP018,ATCM 13,,Report on emergency plans and implementation of natural disaster risk assessment at Antarctic stations,COMNAP,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
